"Product","Developer","Formats total #",".chm",".djvu",".epub",".fb2",".html",".mobi",".oeb",".rtf",".pdf",".txt",".doc",".docx",".pdb"
"Aldiko Book Reader","Aldiko Limited","02+","No","No","Yes","No","No","No","No","No","Yes","No","?","?","?"
"BookBox","?","02+","No","No","Yes","No","No","No","No","No","Yes","Yes","?","?","?"
"Cool Reader","Vadim Lopatin","07+","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes"
"EBookDroid","AK2","05+","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","?","?","?"
"Ebook Reader","eBooks.com","02+","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
"ezPDF Reader","Unidocs Inc.","04+","No","No","Yes","No","Yes","No","No","No","Yes","Yes","?","?","?"
"FBReader","FBReader.ORG Limited","11+","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Google Play Books","Google Inc.","02+","No","No","Yes","?","?","No","?","?","Yes","?","?","?","?"
"iReader","?","02+","?","?","Yes","?","Yes","Yes","?","?","?","Yes","?","?","?"
"Kindle","Amazon Mobile LLC","02+","No","No","No","No","No","Yes","No","No","Yes","Yes","?","?","?"
"Kobo Books","Kobo eBooks","05+","No","No","Yes","No","Yes","No","No","Yes","No","Yes","?","?","?"
"Lektz eBook Reader","AEL Data Services LLP","02+","No","No","Yes","No","No","No","No","No","Yes","No","?","?","?"
"Mantano Ebook Reader","Mantano SAS","02+","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
"Moon+ reader Pro","Moon+","08+","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No"
"PocketBook","Obreey Products","07+","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No"
"Snapplify","Snapplify","07+","No","No","Yes","No","Yes","No","No","No","Yes","Yes","?","?","?"
"Socio eReader","GigaMarket Ltd.","01+","No","No","Yes","No","No","No","No","No","No","No","?","?","?"
"ZXReader","ZXStyles","05+","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","?"
"Product","Developer","Formats total #",".chm",".djvu",".epub",".fb2",".html",".mobi",".oeb",".rtf",".pdf",".txt",".doc",".docx",".pdb"
"Product","Paging touch screen","Paging volume key","Backward-forward","Contents table","Bookmarks","Resume","Go to","Search full text","Sync to cloud","Autoscroll by pixel","Autoscroll by line","Autoscroll by page","Scroll speed control","Rolling blind mode","Continuous scrolling"
"Aldiko Book Reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No","?"
"Cool Reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","Yes"
"EBookDroid","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","Yes"
"Ebook Reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"FBReader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"Google Play Books","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?"
"iReader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","No","?"
"Kindle","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?"
"Kobo Books","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No","No"
"Lektz eBook Reader","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","?"
"Mantano Ebook Reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
